run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat
bfs_stride_deg16_dist1_l2_ddr4_1x,bfs,stride,deg16_dist1,l2,ddr4_1x,0.022525,22525148970.0,30729211.0,31124590.0,67643090.0,0.454285,6624170.0,11448899.0,1295813.0,3529319.0,225449443846.0,34034.36866,105161697341.0,81154.99485,1087969.0,85878.0,12.668774,174148.0,7280.0,23.921429,3095014.0,3529156.0,0.308253,34497.158791,23568.0,1272245.0,0.360479,81226.313177,7.16,57.98,0.0,0.0,5081827789.572217,441595658.84549177,5081824948.0,441595659.0,5523420607.0,19207.0,5066.180923,441.308691,41944.03,3332.0,59436.03,8774099.0,60.518941,113.365689,284010.0,2.0,1851.0,12787836.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3562761.0,240421.0,252259.0,0.067482,0.158939,3046428.0,2580886.0,465530.0,12.0,4089131.0,470551.0,0.0,19725.0,24872.0,713093.0,581349.0,nan,nan,nan,nan,33037312.0,1466685616.3304656,516309.0,71899.78
bfs_stride_deg16_dist1_l2_ddr4_2x,bfs,stride,deg16_dist1,l2,ddr4_2x,0.019721,19721034558.0,30729211.0,31124590.0,59222326.0,0.518879,6583346.0,11373867.0,1290973.0,3529490.0,183555592943.0,27881.808573,84879971068.0,65748.835234,748659.0,70207.0,10.663595,108413.0,5143.0,21.07972,3054009.0,3529337.0,0.310302,28764.649345,19294.0,1271679.0,0.360301,65842.638642,3.58,57.1,0.0,0.0,5808850629.163834,504427897.5701393,5808847384.0,504427898.0,6313275281.0,38414.0,5779.471237,503.246621,23201.09,3332.0,40693.09,8774099.0,50.619276,92.961313,100027.0,2.0,1722.0,12703897.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3657523.0,245588.0,253295.0,0.067146,0.161862,3139256.0,2688872.0,450369.0,15.0,4093974.0,395450.0,0.0,14713.0,18097.0,713898.0,608152.0,nan,nan,nan,nan,33147072.0,1680797825.4139624,518222.0,44817.369999999995
bfs_stride_deg16_dist32_l1d_ddr4_1x,bfs,stride,deg16_dist32,l1d,ddr4_1x,0.025472,25472128707.0,30729211.0,31124590.0,76492879.0,0.401727,7006073.0,11442816.0,1628082.0,3872619.0,281799161110.0,40222.127447,131802448302.0,80955.65721,1526221.0,213431.0,7.150887,0.0,0.0,nan,3555961.0,3450112.0,0.301509,36477.762734,nan,1628082.0,0.420409,80622.657415,5.58,57.29,0.0,0.0,4090637621.949733,390960336.0815022,4090635109.0,390960336.0,4481595445.0,19207.0,4076.876385,390.706569,36164.94,3332.0,53656.94,8774099.0,76.37942,114.812862,196727.0,2.0,1770.0,12876566.0,1877886.0,112535.0,307391.0,0.059926,0.031587,1455602.0,1313309.0,141894.0,399.0,3578455.0,1542438.0,0.0,731.0,57809.0,5392409.0,1497328.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15355264.0,602826099.7197386,240108.0,66293.01,nan,nan,nan,nan
bfs_stride_deg16_dist32_l1d_ddr4_2x,bfs,stride,deg16_dist32,l1d,ddr4_2x,0.022796,22796423091.0,30729211.0,31124590.0,68457727.0,0.448879,6896500.0,11362942.0,1622874.0,3868214.0,239669375037.0,34752.320023,105906839215.0,65258.818131,1154249.0,185654.0,6.217205,0.0,0.0,nan,3447146.0,3449354.0,0.303562,30766.226012,nan,1622874.0,0.419541,64925.818336,2.98,57.005,0.0,0.0,4556150567.367096,436770275.76887417,4556147760.0,436770276.0,4992918036.0,38414.0,4530.860986,435.852237,20487.13,3332.0,37979.130000000005,8774099.0,66.58482,99.553903,70094.0,2.0,1680.0,12773730.0,1900891.0,113267.0,303281.0,0.059586,0.031793,1482259.0,1351695.0,130130.0,434.0,3535442.0,1487407.0,0.0,672.0,48005.0,5328094.0,1506080.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15070272.0,661080553.7272961,235950.0,41716.045,nan,nan,nan,nan
bfs_stride_deg16_dist32_l2_ddr4_1x,bfs,stride,deg16_dist32,l2,ddr4_1x,0.025966,25965983691.0,30729211.0,31124590.0,77975927.0,0.394086,7311490.0,11460493.0,1392200.0,3528613.0,292197504273.0,39964.152898,110838485556.0,79613.910039,924974.0,96649.0,9.570446,217798.0,7079.0,30.766775,3783002.0,3528488.0,0.307883,36274.805989,145.0,1392055.0,0.394505,79283.900395,5.86,57.41,0.0,0.0,4023622337.7207394,382541101.39655024,4023619873.0,382541101.0,4406160974.0,19207.0,4010.152407,382.29709,38051.61,3332.0,55543.61,8774099.0,78.615425,118.416597,269883.0,2.0,1794.0,12889660.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1572164.0,109902.0,130318.0,0.069905,0.073173,1331762.0,1231793.0,99969.0,0.0,1748035.0,158814.0,0.0,10.0,11693.0,3021885.0,1729184.0,nan,nan,nan,nan,15383360.0,592442796.816975,240402.0,73777.12
bfs_stride_deg16_dist32_l2_ddr4_2x,bfs,stride,deg16_dist32,l2,ddr4_2x,0.023182,23181937524.0,30729211.0,31124590.0,69615428.0,0.441414,7191257.0,11381220.0,1392282.0,3522374.0,247006120924.0,34348.114791,90805192619.0,65220.402633,713365.0,83259.0,8.568023,151971.0,6026.0,25.219217,3668984.0,3522273.0,0.309481,30600.209526,83.0,1392199.0,0.395245,64889.602736,3.135,56.995000000000005,0.0,0.0,4512034246.132843,428482562.75889015,4512031486.0,428482563.0,4940514048.0,38414.0,4487.314311,427.62948500000005,21808.565000000002,3332.0,39300.565,8774099.0,68.276201,101.870432,85047.0,2.0,1725.0,12792143.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1621545.0,109993.0,132026.0,0.067832,0.073222,1379406.0,1286211.0,93193.0,2.0,1751634.0,119441.0,0.0,0.0,5447.0,3027838.0,1730304.0,nan,nan,nan,nan,15491456.0,668255446.032579,242139.0,46659.715
bfs_stride_deg16_dist4_l1d_ddr4_1x,bfs,stride,deg16_dist4,l1d,ddr4_1x,0.022568,22567955454.0,30729211.0,31124590.0,67771638.0,0.453423,5457697.0,11436353.0,1766994.0,4083624.0,225349486149.0,41290.215662,147021585592.0,83204.349076,2489998.0,375203.0,6.636402,0.0,0.0,nan,2205560.0,3252137.0,0.284368,36715.719706,nan,1766994.0,0.432702,82871.349076,6.42,57.46,0.0,0.0,5010984722.586204,442621221.0654428,5010981887.0,442621221.0,5453603108.0,19207.0,4995.574554,442.340469,38347.39,3332.0,55839.39,8774099.0,61.116108,109.854292,175911.0,2.0,1792.0,12778292.0,3898636.0,275823.0,490064.0,0.070749,0.078182,3067392.0,2512736.0,554012.0,644.0,6827562.0,2563196.0,0.0,55857.0,196287.0,1662454.0,1043572.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29981184.0,1328484720.785199,468793.0,63788.2,nan,nan,nan,nan
bfs_stride_deg16_dist4_l1d_ddr4_2x,bfs,stride,deg16_dist4,l1d,ddr4_2x,0.0199,19900193220.0,30729211.0,31124590.0,59760340.0,0.514208,5368085.0,11350546.0,1770773.0,4089832.0,186503389216.0,34743.002247,116390577695.0,65728.68329,1709279.0,321929.0,5.309491,0.0,0.0,nan,2119645.0,3248440.0,0.286192,30785.394737,nan,1770773.0,0.43297,65395.68329,3.285,57.150000000000006,0.0,0.0,5694896262.921812,502038140.5120849,5694893047.0,502038140.0,6196931188.0,38414.0,5665.524085999999,500.87714700000004,20889.805,3332.0,38381.805,8774099.0,51.713932,92.883918,55991.0,2.0,1798.0,12677137.0,4017815.0,283011.0,495633.0,0.070439,0.08014,3176650.0,2622518.0,553502.0,630.0,6747347.0,2391830.0,0.0,52118.0,182378.0,1648461.0,1074210.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30287104.0,1521950247.6770425,474100.0,39456.565,nan,nan,nan,nan
bfs_stride_deg16_dist4_l2_ddr4_1x,bfs,stride,deg16_dist4,l2,ddr4_1x,0.023424,23423598288.0,30729211.0,31124590.0,70341136.0,0.43686,6746667.0,11450264.0,1321564.0,3528877.0,241278978100.0,35762.692615,106656891346.0,80705.052004,1098258.0,90218.0,12.17338,254709.0,8914.0,28.574041,3217810.0,3528857.0,0.30819,34939.387399,15819.0,1305745.0,0.370017,80700.67317,6.86,57.9,0.0,0.0,4877955239.632651,424660288.21438265,4877952507.0,424660288.0,5302612796.0,19207.0,4862.747329,424.408918,41222.83,3332.0,58714.83,8774099.0,65.280092,114.889185,275991.0,2.0,1917.0,12796877.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3355839.0,214101.0,249506.0,0.0638,0.14087,2876280.0,2483120.0,393145.0,15.0,3833976.0,412119.0,0.0,3242.0,51695.0,932168.0,737370.0,nan,nan,nan,nan,30685952.0,1310044324.6467617,479544.0,71976.73
bfs_stride_deg16_dist4_l2_ddr4_2x,bfs,stride,deg16_dist4,l2,ddr4_2x,0.02059,20590481574.0,30729211.0,31124590.0,61833278.0,0.496969,6703705.0,11374799.0,1317231.0,3529126.0,198858284941.0,29663.937321,86453649633.0,65632.868975,770789.0,74334.0,10.369266,177923.0,6692.0,26.587418,3174649.0,3529056.0,0.310252,29214.774964,12093.0,1305138.0,0.369819,65593.591347,3.53,57.114999999999995,0.0,0.0,5553059047.651393,483118763.60196877,5553055939.0,483118763.0,6036174703.0,38414.0,5524.982384999999,482.030883,22947.295,3332.0,40439.295,8774099.0,55.135044,95.278832,82085.0,2.0,1712.0,12712076.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3416117.0,218724.0,250488.0,0.064027,0.143533,2934686.0,2562368.0,372308.0,10.0,3842913.0,374338.0,0.0,2272.0,41181.0,933247.0,758849.0,nan,nan,nan,nan,30797056.0,1495693818.006085,481414.0,45004.535
bfs_stride_deg16_dist8_l1d_ddr4_1x,bfs,stride,deg16_dist8,l1d,ddr4_1x,0.023215,23214611817.0,30729211.0,31124590.0,69713549.0,0.440793,5826947.0,11436551.0,1755363.0,4081709.0,236232286426.0,40541.348055,145420892088.0,82843.771965,2376639.0,347840.0,6.832564,0.0,0.0,nan,2522787.0,3304160.0,0.288912,36674.181216,nan,1755363.0,0.430056,82510.771965,6.29,57.49,0.0,0.0,4839335539.426565,430096013.61020255,4839332783.0,430096014.0,5269428796.0,19207.0,4824.302249,429.806541,37998.46,3332.0,55490.46,8774099.0,64.279693,110.935565,182669.0,2.0,1810.0,12793976.0,3648790.0,252996.0,491450.0,0.069337,0.071123,2871464.0,2392227.0,478599.0,638.0,6300526.0,2330294.0,0.0,26424.0,181001.0,2204594.0,1262457.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27830464.0,1198833916.3017933,435151.0,63714.76,nan,nan,nan,nan
bfs_stride_deg16_dist8_l1d_ddr4_2x,bfs,stride,deg16_dist8,l1d,ddr4_2x,0.02052,20519611515.0,30729211.0,31124590.0,61620455.0,0.498686,5748468.0,11354590.0,1746749.0,4075984.0,196959063876.0,34262.879062,114443566481.0,65518.037498,1592742.0,293489.0,5.426922,0.0,0.0,nan,2445401.0,3303067.0,0.290901,30683.175642,nan,1746749.0,0.428547,65185.037498,3.2300000000000004,57.09,0.0,0.0,5448056359.072839,486646250.2323841,5448053240.0,486646251.0,5934699491.0,38414.0,5420.110411,485.523422,20687.73,3332.0,38179.729999999996,8774099.0,54.849921,94.759006,59494.0,2.0,1692.0,12698477.0,3701481.0,256322.0,486128.0,0.069248,0.072013,2928794.0,2465424.0,462729.0,641.0,6229532.0,2223378.0,0.0,24802.0,170167.0,2172500.0,1286825.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27382208.0,1334440858.1996489,428660.0,39505.69,nan,nan,nan,nan
bfs_stride_deg16_dist8_l2_ddr4_1x,bfs,stride,deg16_dist8,l2,ddr4_1x,0.024019,24018808815.0,30729211.0,31124590.0,72128555.0,0.426034,6870152.0,11458617.0,1337377.0,3528774.0,252238585196.0,36715.138937,108295251083.0,80975.858777,1052952.0,91268.0,11.536924,354966.0,12090.0,29.360298,3341468.0,3528684.0,0.30795,35452.208843,9019.0,1328358.0,0.376436,80854.511099,6.76,57.71,0.0,0.0,4733730172.70507,414134109.50621283,4733727508.0,414134110.0,5147861618.0,19207.0,4719.152264,413.870316,40995.49,3332.0,58487.49,8774099.0,68.282927,116.297597,278686.0,2.0,1849.0,12817188.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3086479.0,196427.0,242650.0,0.063641,0.128823,2638298.0,2309009.0,329278.0,11.0,3544116.0,393281.0,0.0,1203.0,53061.0,1233740.0,941164.0,nan,nan,nan,nan,28679232.0,1194032236.1902275,448181.0,71828.83
